chinese,38
famous,36
popular,35
free,34
old,33
special,26
natural,26
green,25
australian,25
different,25
quiet,25
western,24
exclusive,23
local,22
historic,22
outdoor,22
modern,22
unique,21
international,21
busy,20
asian,19
commercial,19
cheap,18
traditional,18
japanese,17
fine,17
ultimate,17
national,17
ancient,16
fresh,16
young,16
mysterious,15
american,15
european,14
funny,13
historical,13
sunny,13
regal,13
chic,13
luxurious,12
cultural,12
exotic,12
colourful,11
antique,11
scenic,10
romantic,10
expensive,10
elegant,9
italian,9
iconic,9
cantonese,9
colonial,8
tropical,8
entertaining,7
bustling,7
futuristic,7
foreign,7
culinary,7
adventure,7
tasty,7
mexican,7
trendy,7
healthy,6
busiest,6
sustainable,6
affordable,6
stylish,6
cheapest,6
artistic,5
nepal,5
authentic,5
spanish,5
egyptian,5
relaxing,5
literature,5
religious,4
childfriendly,4
brazil,4
inexpensive,4
vietnamese,4
medieval,4
jamaican,4
dutch,4
hungary,4
indian,4
brazilian,4
japaneseowned,4
nautical,4
recreational,4
bulgarian,4
finland,3
strategic,3
highend,3
deluxe,3
india,3
china,3
africa,3
lavish,3
malaysian,3
adventurous,3
savvy,3